created_at;account.id;in_reply_to_account_id;
2018-04-13T22:18:20.000Z;582;-1;
2018-04-13T22:16:05.000Z;1552;-1;
2018-04-13T22:15:52.556Z;568;568;
2018-04-13T22:12:28.638Z;568;568;
2018-04-13T22:12:08.657Z;159;-1;
2018-04-13T22:09:33.103Z;568;568;
2018-04-13T22:09:10.938Z;80;-1;
2018-04-13T22:07:56.000Z;1547;-1;
2018-04-13T22:06:3866Z;568;568;
2018-04-13T22:03:37.843Z;174;174;
2018-04-13T22:02:27.463Z;568;568;
2018-04-13T22:01:31.236Z;174;-1;
2018-04-13T22:01:23.244Z;182;-1;
2018-04-13T22:00:0487Z;568;568;
2018-04-13T21:59:31.000Z;449;-1;
2018-04-13T21:55:40.287Z;80;-1;
2018-04-13T21:54:10.328Z;568;568;
2018-04-13T21:53:55.100Z;568;568;
2018-04-13T21:53:30.170Z;568;568;
2018-04-19T21:50:38.000Z;2357;-1;
2018-04-19T21:47:0400Z;857;857;
2018-04-19T21:46:01.000Z;857;-1;
2018-04-19T21:40:41.280Z;101;-1;
2018-04-19T21:39:13.085Z;101;-1;
2018-04-19T21:32:3000Z;1095;1095;
2018-04-19T21:31:47.274Z;159;159;
2018-04-19T21:30:58.000Z;894;-1;
2018-04-19T21:29:39.000Z;449;-1;
2018-04-19T21:29:20.164Z;159;-1;
2018-04-19T21:28:05.000Z;1095;-1;
2018-04-19T21:27:05.000Z;1741;-1;
2018-04-19T21:26:55.870Z;2349;-1;
2018-04-19T21:17:22.877Z;2319;-1;
2018-04-19T21:13:45.000Z;356;-1;
2018-04-19T21:12:53.000Z;2410;-1;
2018-04-19T21:08:27.183Z;573;-1;
2018-04-19T21:08:08.888Z;101;-1;
2018-04-19T21:07:17.413Z;1959;-1;
2018-04-19T21:06:34.648Z;101;-1;
2018-04-19T21:04:54.147Z;101;-1;
2018-04-19T21:04:30.000Z;499;-1;
2018-04-19T21:01:15.551Z;101;-1;
2018-04-19T21:00:17.000Z;589;-1;
2018-04-19T20:53:58.000Z;1303;-1;
2018-04-19T20:53:26.000Z;2159;-1;
2018-04-19T20:51:14.596Z;101;-1;
2018-04-19T20:48:3700Z;79;79;
2018-04-19T20:48:12.000Z;79;-1;
2018-04-19T20:41:55.000Z;2530;-1;
2018-04-19T20:39:14.640Z;174;174;
2018-04-19T20:37:52.949Z;174;-1;
2018-04-19T20:33:23.000Z;1715;-1;
2018-04-19T20:29:37.809Z;565;-1;
2018-04-19T20:27:57.000Z;582;-1;
2018-04-19T20:27:09.500Z;159;-1;
2018-04-19T20:23:30.607Z;566;-1;
2018-04-19T20:18:27.226Z;571;-1;
2018-04-19T20:03:45.000Z;2524;-1;
2018-04-13T21:44:30.189Z;502;502;
2018-04-13T21:44:04.786Z;8;-1;
2018-04-13T21:42:45.457Z;502;-1;
2018-04-13T21:35:20.367Z;159;-1;
2018-04-13T21:24:31.000Z;2026;-1;
2018-04-13T21:20:10.609Z;182;-1;
2018-04-13T21:13:02.000Z;835;-1;
2018-04-13T21:11:22.498Z;182;-1;
2018-04-13T21:09:33.000Z;2041;-1;
2018-04-13T21:06:2800Z;857;857;
2018-04-13T21:04:41.000Z;857;-1;
2018-04-13T21:04:04.649Z;574;574;
2018-04-13T21:03:27.062Z;574;-1;
2018-04-13T20:59:10.000Z;607;-1;
2018-04-13T20:58:40.547Z;159;-1;
2018-04-13T20:54:55.428Z;573;573;
2018-04-13T20:53:53.268Z;573;-1;
2018-04-13T20:49:15.266Z;174;-1;
2018-04-13T20:42:31.000Z;484;-1;
2018-04-13T20:38:38.000Z;607;-1;
2018-04-13T20:32:25.150Z;571;-1;
2018-04-13T20:31:58.000Z;484;-1;
2018-04-13T20:23:12.000Z;287;-1;
2018-04-13T20:19:10.000Z;600;-1;
2018-04-13T20:16:13.214Z;570;570;
2018-04-13T20:13:00.000Z;42;-1;
2018-04-13T20:11:48.000Z;2053;-1;
2018-04-13T20:09:4900Z;295;295;
2018-04-13T20:09:47.000Z;1235;-1;
2018-04-13T20:06:13.241Z;570;-1;
2018-04-13T20:03:26.000Z;2027;-1;
2018-04-13T20:01:24.000Z;2016;-1;
2018-04-13T20:01:18.229Z;574;574;
2018-04-13T19:55:21.270Z;80;-1;
2018-04-13T19:55:11.000Z;3679;-1;
2018-04-13T19:55:01.790Z;565;-1;
2018-04-13T19:51:14.372Z;570;-1;
2018-04-13T19:49:57.868Z;182;-1;
2018-04-13T19:47:52.000Z;600;-1;
2018-04-26T12:53:30.000Z;2814;-1;
2018-04-26T12:48:06.000Z;1178;-1;
2018-04-26T12:44:18.000Z;986;-1;
2018-04-26T12:31:06.000Z;1352;-1;
2018-04-26T12:27:36.335Z;2319;-1;
2018-04-26T12:23:57.220Z;569;-1;
2018-04-26T12:20:12.000Z;3356;-1;
2018-04-26T12:19:01.172Z;2319;-1;
2018-04-26T12:16:17.191Z;2319;-1;
2018-04-26T12:13:40.000Z;3065;-1;
2018-04-26T12:11:24.000Z;3356;-1;
2018-04-26T12:06:40.337Z;398;-1;
2018-04-26T11:36:21.000Z;802;-1;
2018-04-26T11:34:00.668Z;568;-1;
2018-04-26T11:32:55.204Z;101;-1;
2018-04-26T11:28:30.000Z;370;-1;
2018-04-26T11:26:14.677Z;101;-1;
2018-04-26T11:17:02.000Z;2906;-1;
2018-04-26T11:14:23.973Z;551;-1;
2018-04-26T11:13:12.320Z;568;-1;
2018-04-26T11:06:00.000Z;2436;-1;
2018-04-26T11:05:19.000Z;720;-1;
2018-04-26T11:02:29.000Z;2101;-1;
2018-04-26T11:02:04.000Z;2101;-1;
2018-04-26T10:35:10.885Z;101;-1;
2018-04-26T10:34:54.392Z;2319;-1;
2018-04-26T10:26:02.163Z;2349;-1;
2018-04-26T09:42:32.165Z;573;-1;
2018-04-26T09:41:10.680Z;568;568;
2018-04-26T09:34:06.000Z;81;-1;
2018-04-26T09:30:52.787Z;568;-1;
2018-04-26T09:28:30.000Z;652;-1;
2018-04-26T09:18:59.915Z;159;-1;
2018-04-26T09:14:23.898Z;159;-1;
2018-04-26T09:14:10.000Z;828;-1;
2018-04-26T09:09:00.000Z;3077;-1;
2018-04-26T09:07:01.000Z;2273;-1;
2018-04-26T09:00:29.987Z;159;159;
2018-04-26T08:57:03.231Z;159;-1;
2018-04-10T01:02:53.000Z;206;-1;
2018-04-10T00:57:26.708Z;568;568;
2018-04-10T00:56:07.000Z;887;-1;
2018-04-10T00:51:34.000Z;774;-1;
2018-04-10T00:50:56.867Z;568;568;
2018-04-10T00:46:03.000Z;1361;-1;
2018-04-10T00:45:56.180Z;568;568;
2018-04-10T00:42:20.000Z;1355;-1;
2018-04-10T00:41:58.547Z;568;568;
2018-04-10T00:41:36.950Z;568;-1;
2018-04-10T00:41:09.436Z;159;-1;
2018-04-10T00:37:2449Z;487;487;
2018-04-10T00:36:09.827Z;487;487;
2018-04-10T00:33:16.000Z;18;-1;
2018-04-10T00:32:58.851Z;487;487;
2018-04-10T00:32:02.695Z;487;-1;
2018-04-10T00:30:00.766Z;159;-1;
2018-04-10T00:23:02.000Z;2831;-1;
2018-04-10T00:22:02.000Z;853;-1;
2018-04-10T00:18:44.000Z;1385;-1;
2018-04-10T00:17:07.000Z;250;-1;
2018-04-10T00:12:17.000Z;810;-1;
2018-04-10T00:12:12.000Z;1349;-1;
2018-04-10T00:10:48.331Z;487;487;
2018-04-10T00:08:16.308Z;487;487;
2018-04-10T00:06:54.595Z;487;-1;
2018-04-10T00:05:36.390Z;80;-1;
2018-04-10T00:05:31.000Z;1344;-1;
2018-04-10T00:05:07.000Z;1341;-1;
2018-04-09T23:53:17.000Z;433;-1;
2018-04-09T23:51:3600Z;1340;1340;
2018-04-09T23:48:53.000Z;652;-1;
2018-04-09T23:47:37.000Z;1341;-1;
2018-04-09T23:43:53.000Z;1340;-1;
2018-04-09T23:40:56.547Z;568;-1;
2018-04-09T23:40:33.551Z;568;568;
