created_at;account.id;in_reply_to_account_id;;;
2017-09-16T18:12:3000Z;544;-1;;;
2017-09-17T03:51:1600Z;2103;-1;;;
2017-09-17T13:37:3600Z;2700;-1;;;
2017-09-17T13:47:4500Z;1945;-1;;;
2017-09-17T21:59:3200Z;3037;-1;;;
2017-09-17T22:01:4200Z;502;-1;;;
2017-09-17T22:05:0000Z;502;502;;;
2017-09-18T21:45:0500Z;159;-1;;;
2017-09-19T07:46:5900Z;3775;-1;;;
2017-09-20T21:52:1200Z;755;-1;;;
2017-09-20T21:53:3800Z;755;755;;;
2017-09-20T23:20:1100Z;592;-1;;;
2017-09-22T20:43:1100Z;971;-1;;;
2017-09-23T15:31:3700Z;3442;-1;;;
2017-09-23T16:11:3800Z;573;-1;;;
2017-09-25T06:41:5900Z;895;-1;;;
2017-09-25T07:19:4000Z;895;895;;;
2017-09-25T09:41:1600Z;781;-1;;;
2017-09-25T15:44:4100Z;1908;-1;;;
2017-09-25T19:44:1100Z;652;-1;;;
2017-09-25T21:56:2300Z;1485;-1;;;
2017-09-26T12:49:0200Z;641;-1;;;
2017-09-26T21:46:2500Z;1209;-1;;;
2017-09-27T09:54:3100Z;2357;-1;;;
2017-09-27T19:07:2200Z;1991;-1;;;
2017-09-28T00:34:5200Z;1209;-1;;;
2017-09-28T05:25:4700Z;917;-1;;;
2017-09-28T08:59:1500Z;3749;-1;;;
2017-09-28T13:34:2700Z;1029;-1;;;
2017-09-28T13:36:2800Z;3605;-1;;;
2017-09-28T14:26:4800Z;268;-1;;;
2017-09-28T16:42:5800Z;1532;-1;;;
2017-09-29T04:05:2800Z;1485;-1;;;
2017-09-30T00:32:4900Z;79;-1;;;
2017-09-30T17:54:5800Z;3180;-1;;;
2017-10-02T14:56:2800Z;473;-1;;;
2017-10-02T16:55:5100Z;2097;-1;;;
2017-10-03T00:58:0000Z;3094;-1;;;
2017-10-03T05:17:0600Z;641;-1;;;
2017-10-03T08:45:4700Z;1029;-1;;;
2017-10-03T13:45:3100Z;2682;-1;;;
2017-10-03T16:04:5200Z;3442;-1;;;
2017-10-04T15:35:4200Z;84;-1;;;
2017-10-05T06:25:2500Z;1864;-1;;;
2017-10-05T22:01:1200Z;4;-1;;;
2017-10-06T23:08:5400Z;159;-1;;;
2017-10-06T23:11:2700Z;159;159;;;
2017-10-07T08:04:3400Z;1029;-1;;;
2017-10-07T09:04:1900Z;953;-1;;;
2017-10-08T02:05:0400Z;652;-1;;;
2017-10-09T16:12:4200Z;2136;-1;;;
2017-10-10T04:18:5600Z;611;-1;;;
2017-10-10T20:44:0200Z;671;-1;;;
2017-10-11T03:49:4900Z;2384;-1;;;
2017-10-11T10:15:5000Z;834;-1;;;
2017-10-12T01:40:1300Z;607;-1;;;
2017-10-12T13:21:0500Z;1095;-1;;;
2017-10-12T16:03:1100Z;3006;-1;;;
2017-10-12T17:23:5600Z;1095;-1;;;
2017-10-12T21:48:2200Z;2232;-1;;;
2017-10-12T22:16:5300Z;745;-1;;;
2017-10-13T11:27:2300Z;3557;-1;;;
2017-10-13T14:10:3400Z;2339;-1;;;
2017-10-13T14:17:0100Z;2050;-1;;;
2017-10-13T14:21:5300Z;11;-1;;;
2017-10-13T15:44:2400Z;3135;-1;;;
2017-10-13T15:49:2300Z;280;-1;;;
2017-10-13T17:58:2300Z;2795;-1;;;
2017-10-13T18:03:2000Z;359;-1;;;
2017-10-13T18:52:1000Z;2222;-1;;;
2017-10-13T18:58:0700Z;2222;2222;;;
2017-10-13T19:04:4900Z;1626;-1;;;
2017-10-13T19:08:4400Z;2713;-1;;;
2017-10-13T21:35:1000Z;750;-1;;;
2017-10-14T04:16:4000Z;3588;-1;;;
2017-10-15T03:06:0600Z;2830;-1;;;
2017-10-15T17:26:2200Z;3249;-1;;;
2017-10-15T19:51:2000Z;750;-1;;;
2017-10-16T01:34:0100Z;1079;-1;;;
2017-10-16T14:51:2600Z;1943;-1;;;
2017-10-16T21:21:2500Z;3305;-1;;;
2017-10-16T23:58:1400Z;3305;-1;;;
2017-10-17T01:24:2300Z;628;-1;;;
2017-10-17T01:31:2900Z;3305;-1;;;
2017-10-17T01:48:2200Z;1373;-1;;;
2017-10-17T02:23:3900Z;2919;-1;;;
2017-10-17T04:28:2100Z;2109;-1;;;
2017-10-17T10:18:5100Z;3256;-1;;;
2017-10-17T14:20:5400Z;2411;-1;;;
2017-10-17T14:41:5900Z;2375;-1;;;
2017-10-17T15:07:5200Z;2023;-1;;;
2017-10-17T15:08:3800Z;544;-1;;;
2017-10-18T01:39:4800Z;1373;-1;;;
2017-10-18T06:51:3200Z;1341;-1;;;
2017-10-18T07:26:4000Z;1323;-1;;;
2017-10-18T11:29:5200Z;1748;-1;;;
2017-10-18T23:02:0200Z;903;-1;;;
2017-10-19T02:51:4500Z;501;-1;;;
2017-10-19T11:21:2800Z;1095;-1;;;
2017-10-19T12:24:4200Z;971;-1;;;
2017-10-19T18:15:1800Z;351;-1;;;
2017-10-19T21:47:1500Z;2919;-1;;;
2017-10-19T23:16:1700Z;3012;-1;;;
2017-10-20T09:54:4300Z;3294;-1;;;
2017-10-20T17:45:2100Z;85;-1;;;
2017-10-20T19:39:1400Z;159;-1;;;
2017-10-20T20:49:3500Z;159;-1;;;
2017-10-21T01:46:4800Z;488;-1;;;
2017-10-21T07:04:2100Z;2522;-1;;;
2017-10-21T15:03:3200Z;2728;-1;;;
2017-10-22T02:59:0300Z;2185;-1;;;
2017-10-22T15:07:2600Z;763;-1;;;
2017-10-22T19:20:2100Z;1029;-1;;;
2017-10-22T20:08:2300Z;532;-1;;;
2017-10-23T21:27:1700Z;3626;-1;;;
2017-10-24T00:21:5300Z;79;-1;;;
2017-10-24T22:44:2200Z;2599;-1;;;
2017-10-25T05:04:1200Z;933;-1;;;
2017-10-25T12:19:2400Z;2195;-1;;;
2017-10-26T20:00:0100Z;3108;-1;;;
2017-10-26T23:07:2600Z;390;-1;;;
2017-10-27T11:11:5300Z;682;-1;;;
2017-10-29T14:08:2900Z;351;-1;;;
2017-10-30T00:00:5300Z;1024;-1;;;
2017-10-30T03:00:0400Z;711;-1;;;
2017-10-31T02:30:5800Z;2099;-1;;;
2017-10-31T07:34:3800Z;646;-1;;;
2017-10-31T15:07:0000Z;3249;-1;;;
2017-11-01T01:15:0100Z;3346;-1;;;
2017-11-01T06:41:4100Z;966;-1;;;
2017-11-02T04:47:2500Z;3145;-1;;;
2017-11-02T06:03:0300Z;2592;-1;;;
2017-11-02T13:09:5600Z;3040;-1;;;
2017-11-03T13:15:5200Z;182;-1;;;
2017-11-03T17:37:2400Z;950;-1;;;
2017-11-03T18:00:5200Z;930;-1;;;
2017-11-03T18:51:1100Z;3140;-1;;;
2017-11-03T18:55:2400Z;3140;-1;;;
2017-11-03T20:51:4000Z;2321;-1;;;
